,l,w
140,140.0280056011202,-0.7560880322514749
141,141.0282056411282,-0.7605374589469558
142,142.02840568113623,-0.7649868856424367
143,143.02860572114423,-0.769436312337918
144,144.02880576115223,-0.7738857390333989
145,145.02900580116022,-0.7783351657288797
146,146.02920584116822,-0.7827845924243606
147,147.02940588117622,-0.7872340191198419
148,148.02960592118424,-0.7916834458153228
149,149.02980596119224,-0.7961328725108037
150,150.03000600120023,-0.8005822992062845
151,151.03020604120823,-0.8050317259017654
152,152.03040608121623,-0.8094811525972463
153,153.03060612122422,-0.8139305792927272
154,154.03080616123225,-0.818380005988208
155,155.03100620124025,-0.8228294326836894
156,156.03120624124824,-0.8273349035053639
157,157.03140628125624,-0.8317923154448075
158,158.03160632126423,-0.8362144772960274
159,159.03180636127226,-0.8406366391472473
